Species,Common Name,Review ID,Ver.,Type,ID,Method,Site From,Site To,Sites between,#animals,Months start,Months end
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,6,Telemetry,C,A,,1,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,7,Telemetry,A,C,,1,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,8,Telemetry,C,A,,1,(UNK),JUN
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,9,Telemetry,A,D,,9,MAR; APR,MAR; APR
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,10,Telemetry,D,A,,9,(UNK),MAY; (UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,11,Telemetry,A,D,,7,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,12,Telemetry,D,A,,7,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,13,Telemetry,A,D,,7,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,14,Telemetry,D,A,,7,(UNK),MAY; JUN; JUL; (UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,15,Telemetry,A,D,,4,(UNK),(UNK)
CHMY,Green,8NMU98K8_Chambault_etal_2016_Chmy,1000000,Route,16,Telemetry,D,A,,4,(UNK),MAY; JUN
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,1,Mark-recapture,A,B,,38,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,2,Mark-recapture,A,C,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,3,Mark-recapture,A,D,,104,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,4,Mark-recapture,A,E,,7,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,5,Mark-recapture,A,F,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,6,Mark-recapture,A,G,,32,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,7,Mark-recapture,A,H,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,8,Mark-recapture,A,I,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,9,Mark-recapture,A,J,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,10,Mark-recapture,A,K,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,11,Mark-recapture,A,L,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,12,Mark-recapture,A,M,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,13,Mark-recapture,A,N,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,14,Mark-recapture,A,O,,1,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,15,Mark-recapture,A,P,,45,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,16,Mark-recapture,A,Q,,3833,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,17,Mark-recapture,A,R,,354,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,18,Mark-recapture,A,S,,138,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,19,Mark-recapture,A,T,,73,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Connection,20,Mark-recapture,A,U,,30,(UNK),(UNK)
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,21,Telemetry,V,Y,,1,SEP,SEP
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,22,Telemetry,V,X,,1,SEP,SEP
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,23,Telemetry,W,X,,2,OCT,OCT
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,24,Telemetry,X,Y,,3,OCT; NOV,NOV
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,25,Telemetry,W,Y,,3,SEP; OCT,OCT
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,26,Telemetry,W,Z,,1,SEP,OCT
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,27,Telemetry,W,AA,,1,AUG,AUG
CHMY,Green,8Z75DBBC_Troeng_etal_2005_CHMY,1000000,Route,28,Telemetry,W,AB,,1,AUG,SEP
CHMY,Green,95CLUNAR_Jang_etal_2018_Chmy,2000000,Route,1,Telemetry,A,B,,1,AUG,AUG
CHMY,Green,95CLUNAR_Jang_etal_2018_Chmy,2000000,Route,2,Telemetry,A,C,,1,OCT,NOV
CHMY,Green,95CLUNAR_Jang_etal_2018_Chmy,2000000,Route,3,Telemetry,C,D,,1,NOV,DEC
CHMY,Green,95CLUNAR_Jang_etal_2018_Chmy,2000000,Route,4,Telemetry,A,D,,1,OCT,OCT
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,1,Telemetry,B,F,,3,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,2,Telemetry,A,F,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,3,Telemetry,A,G,,7,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,4,Telemetry,C,G,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,5,Telemetry,D,G,,2,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,6,Telemetry,E,G,,2,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,7,Telemetry,A,H,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,8,Telemetry,D,H,,2,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,9,Telemetry,A,I,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,10,Telemetry,D,I,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,11,Telemetry,C,J,,2,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,12,Telemetry,D,K,,5,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,13,Telemetry,E,K,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,14,Telemetry,A,L,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,15,Telemetry,C,L,,3,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,16,Telemetry,D,L,,4,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,17,Telemetry,E,L,,6,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,18,Telemetry,D,M,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,19,Telemetry,C,N,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,20,Telemetry,C,O,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,21,Telemetry,C,P,,2,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,22,Telemetry,D,P,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,23,Telemetry,A,Q,,1,(UNK),(UNK)
CHMY,Green,9CEB2PJN_Ferreira_etal_2021_Chmy,2000000,Route,24,Telemetry,E,O,,1,(UNK),(UNK)
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,1,Telemetry,A,C,,1,SEP,SEP
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,2,Telemetry,A,D,,1,MAR,MAR
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,3,Telemetry,B,E,,1,JUN,JUN
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,4,Telemetry,E,B,,1,JUN,JUN
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,5,Telemetry,B,E,,1,JUN,JUL
CHMY,Green,9P5DMQMT_Kittiwattanawong_etal_2002_Chmy,1000000,Route,6,Telemetry,B,F,,1,SEP,SEP
CHMY,Green,AA8D24MB_Blanco_etal_2012_Chmy,1000000,Route,1,Telemetry,A,B,,1,AUG,SEP
CHMY,Green,AA8D24MB_Blanco_etal_2012_Chmy,1000000,Route,2,Telemetry,A,C,,3,JAN; OCT,FEB; NOV
CHMY,Green,AA8D24MB_Blanco_etal_2012_Chmy,1000000,Route,3,Telemetry,A,D,,4,SEP; OCT; NOV,SEP; OCT; NOV
CHMY,Green,AMV4ES3Z_Chambault_etal_2020_Chmy,2000000,Route,1,Telemetry,A,B,,2,JAN; FEB,(UNK)
CHMY,Green,B36IUZ6K_Mettler_etal_2020_Chmy,2000000,Route,1,Telemetry,A,B,,2,FEB; MAR,(UNK)
CHMY,Green,B36IUZ6K_Mettler_etal_2020_Chmy,2000000,Route,2,Telemetry,B,C,,2,(UNK),MAR; JUN
CHMY,Green,B36IUZ6K_Mettler_etal_2020_Chmy,2000000,Route,3,Telemetry,A,D,,6,JAN; FEB; (UNK),(UNK)
CHMY,Green,B36IUZ6K_Mettler_etal_2020_Chmy,2000000,Route,4,Telemetry,D,E,,5,(UNK),FEB; MAR; (UNK)
CHMY,Green,B36IUZ6K_Mettler_etal_2020_Chmy,2000000,Route,5,Telemetry,A,D,,2,(UNK),(UNK)
CHMY,Green,BZBXKR7W_Balazs_etal_1994_Chmy,1000000,Route,1,Telemetry,A,C,,2,SEP,SEP
CHMY,Green,BZBXKR7W_Balazs_etal_1994_Chmy,1000000,Route,2,Telemetry,B,D,,1,JAN,FEB
CHMY,Green,BZBXKR7W_Balazs_etal_1994_Chmy,1000000,Route,3,Telemetry,B,E,,2,DEC,JAN; FEB
CHMY,Green,CQQRWU9I_Fukuoka_etal_2015_Chmy,1000000,Connection,1,Mark-recapture,B,C,,2,AUG; SEP; OCT; NOV; (UNK),(UNK)
CHMY,Green,CQQRWU9I_Fukuoka_etal_2015_Chmy,1000000,Connection,2,Mark-recapture,B,D,,11,AUG; SEP; OCT; NOV; (UNK),(UNK)
CHMY,Green,CQQRWU9I_Fukuoka_etal_2015_Chmy,1000000,Route,3,Telemetry,B,E,,2,SEP,OCT
CHMY,Green,CQQRWU9I_Fukuoka_etal_2015_Chmy,1000000,Route,4,Telemetry,B,F,,1,SEP,NOV
CHMY,Green,CR2RRN6G_Kennett_etal_2004_Chmy,1000000,Connection,1,Telemetry,A,B,,1,DEC,DEC
CHMY,Green,CR2RRN6G_Kennett_etal_2004_Chmy,1000000,Connection,2,Telemetry,A,C,,13,NOV; DEC,NOV; DEC
CHMY,Green,CR2RRN6G_Kennett_etal_2004_Chmy,1000000,Connection,3,Telemetry,A,D,,4,NOV; DEC,NOV; DEC
CHMY,Green,CR2RRN6G_Kennett_etal_2004_Chmy,1000000,Connection,4,Telemetry,A,E,,1,NOV,NOV
CHMY,Green,CR2RRN6G_Kennett_etal_2004_Chmy,1000000,Connection,5,Telemetry,A,F,,1,NOV,NOV
CHMY,Green,CUJU6FWX_Girard_etal_2006_Chmy,1000000,Route,1,Telemetry,B,D,,2,NOV,DEC
CHMY,Green,CUJU6FWX_Girard_etal_2006_Chmy,1000000,Route,2,Telemetry,C,D,,1,NOV,JAN
