Species,CommonName,ReviewID,MetaSiteID,Duplicate,Publication.Year,Radius,Sampling,Sampling Technique,Activities,Sat F,Sat M,Sat U,Sat A,Sat AB,Sat AI,Sat I,Sat J,Sat Sub,Sat Unk,F,M,U,A,AB,AI,I,J,SUB,UNK,Basin,Long,Lat,N. Pub
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,DC,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,,,1,PAC,-157.799,21.234,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,DC,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,,,1,PAC,-158.073,21.281,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,ER,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,,,1,,,,,1,,,PAC,-155.748,18.893,1
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,ES,FALSE,2015,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,,,,,,,,,,,1,,,,,1,,,PAC,-160.2,18.1,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,AM,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE;NES,12,,,,,12,,,,,12,,,,12,,,,,,PAC,-90.5,-0.5,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,CK,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,-87.738,12.899,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,CK,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,-82.473,8.042,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,DT,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,-79.337,8.432,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,ET,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG,,,,,,,,,,,3,,,3,,,,,,,PAC,-102,-4,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,EU,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG,,,,,,,,,,,1,,,1,,,,,,,PAC,-92,-3,1
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,EV,FALSE,2008,1,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG,,,,,,,,,,,3,,,3,,,,,,,PAC,-94,-10,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,NES,4,,,2,2,,,,,,2,,,,2,,,,,,IND,48.777,28.818,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,1,,,,,1,,,,,IND,48.46,28.5,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,1,,,1,,,,,,,IND,48.513,28.502,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,2,,,2,,,,,,,IND,48.492,29.072,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,IND,48.33,29.459,1
CHMY,Green,8FJPZCEE_Rees_etal_2013_Chmy,AN,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,IND,48.993,27.889,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,11,,,,11,,,,,,7,,,,7,,,,,,ATL,-82.8,24.6,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,,,,,,,,,,,7,,,,7,,,,,,ATL,-82.9,24.6,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,BRE;NES,,,,,,,,,,,6,,,,,6,,,,,ATL,-82.8,24.7,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,BRE;NES,,,,,,,,,,,3,,,,,3,,,,,ATL,-82.9,24.6,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,BRE;NES,,,,,,,,,,,2,,,,,2,,,,,ATL,-82.8,24.6,1
CHMY,Green,8HCQSW7J_Hart_etal_2013_Chmy,AO,TRUE,2013,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,5,,,5,,,,,,,ATL,-82,24.5,1
