MetaUniqueID_From,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Connections.to.Foraging,Basin,RMU_From,MetaUniqueID_To,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Site,Connections.to.Foraging,Basin,RMU_To,Lat1,Lon1,Lat2,Lon2,Distance
METACHMY_AG,NES,Island,"Long Beach, Georgetown, Ascension Island;Ascension Island;Long Beach, Ascension Island;Deadman's Beach, Ascension Island;English Bay, Ascension Island;Pan Am Beach, Ascension Island;Payne Point, Ascension Island;Long beach, Ascention Island",-7.925833333,-14.40375,63,1,NA,3,ATL,2,METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,1,ATL,1;2,-0.138331888,-0.251392862,-0.091029645,-0.630473351,2417.689509
METACHMY_AS,NES,Continental,"Awala-Yalimapo, Amana Nature Reserve, French Guiana;Galibi Nature Reserve, Suriname;Amana Nature Reserve, French Guiana;Awala-Yalimapo & Galibi Nature Reserves, French Guiana & Suriname;Guianese coast;Mouth of Maroni River;Waters between French Guiana & Suriname",5.686555679,-53.77378016,1181,1,NA,2,ATL,1,METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,1,ATL,1;2,0.09924912,-0.938529515,-0.091029645,-0.630473351,2304.295072
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,1,ATL,1;2,0.178966059,-1.452707349,-0.091029645,-0.630473351,5493.13927
METACHMY_BQ,NES,Island,"Joao Vieira & Poilao National Marine Park, Bijagos Archipelago, Guinea-Bissau;Poilao Island, Bijagos;Bijagos archipelago, West Africa",10.76099998,-15.5103332,35,1,NA,4,ATL,1,METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,1,ATL,1;2,0.18781488,-0.270706382,-0.091029645,-0.630473351,2891.8643
METACHMY_FT,OBS,Insular,Mid-Atlantic,-9,-25,2,5,1,NA,ATL,1,METACHMY_CH,FEE,Coastal,"Brazilian bulge;Shores of Ceara & Paraiba States, Brazil;Brazil;Easternmost part of Brazilian bulge;Coastal Natal & Recife, Brazil;East of Brazilian Bulge;Brazilian coast;East Brazil;Coast of Ceara, Brazil;East of Brazil;Almofala waters, Ceara, Brazil;Atol das Rocas, offshore Brazil;Coast between Piaui & Ceara, Brazil;Southeast Brazilian coast;Fernando de Noronha",-5.215614447,-36.1234621,46,10,4,1,1,ATL,1;2,-0.157079633,-0.436332313,-0.091029645,-0.630473351,1297.251139
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_CI,FEE,Insular,"Cuba;South Coast of Cuba;Jardines de la Reina, Cuba;Jamaica;Bimini, Bahamas",21.57667058,-79.68367271,115,5,2,1,1,ATL,1,0.178966059,-1.452707349,0.376583943,-1.390742449,1314.794079
METACHMY_BU,NES,Island,"Playa Chikitu, Bonaire;Southwest coast of Bonaire",12.1075,-68.2425,4,1,NA,4,ATL,1,METACHMY_CI,FEE,Insular,"Cuba;South Coast of Cuba;Jardines de la Reina, Cuba;Jamaica;Bimini, Bahamas",21.57667058,-79.68367271,115,5,2,1,1,ATL,1,0.211315739,-1.191056315,0.376583943,-1.390742449,1608.275715
METACHMY_DO,NA,NA,NA,32.35,-64.71,NA,NA,NA,NA,NA,1,METACHMY_CI,FEE,Insular,"Cuba;South Coast of Cuba;Jardines de la Reina, Cuba;Jamaica;Bimini, Bahamas",21.57667058,-79.68367271,115,5,2,1,1,ATL,1,0.564614013,-1.129402559,0.376583943,-1.390742449,2051.163663
METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,13,ATL,1,METACHMY_CJ,FEE,Coastal,"Honduras;Belize;South of Belize City, Belize;Cajones Cays, Honduras;Guatemala;Waters between Belize & Mexico",16.8807901,-86.87416243,83,5,2,1,NA,ATL,1,0.178966059,-1.452707349,0.294625368,-1.516240169,835.2158684
METACHMY_BU,NES,Island,"Playa Chikitu, Bonaire;Southwest coast of Bonaire",12.1075,-68.2425,4,1,NA,4,ATL,1,METACHMY_CJ,FEE,Coastal,"Honduras;Belize;South of Belize City, Belize;Cajones Cays, Honduras;Guatemala;Waters between Belize & Mexico",16.8807901,-86.87416243,83,5,2,1,NA,ATL,1,0.211315739,-1.191056315,0.294625368,-1.516240169,2073.629786
