Species,CommonName,ReviewID,ZoteroID,Ver.,Method,SiteID,Location,Radius,Sampling,NumIDs,Numroutes,Numconns,Years,Monthsstart,Monthsend,Monthssampled,Activities,Behaviour,Sex,Lifestage,UniqueID,UniqueID_from,UniqueID_to,Title,Publication Year,Author,Basin,Long,Lat
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,2XCHJ488,1.00E+06,T,D,"Islands, Bahia de los Angeles, Gulf of California",1,RADIO TAG,3,NA,NA,1998; 1999,JUN; JUL,AUG; SEP,NA,FEE,FEE,"{ ""U"" : 2, ""M"" : 1 }","{ ""UNK"" : 3 }",2XCHJ488_D,2XCHJ488_D,2XCHJ488_D,"Home range of green turtles Chelonia mydas at a coastal foraging area in the Gulf of California, Mexico",2002,"Seminoff, J. A.; Resendiz, A.; Nichols, W. J.",PAC,-113.488,28.995
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,39W3A5US,1.00E+06,T,A,"Long Beach, Georgetown, Ascension Island",1,SATELLITE TAG (ARGOS),6,2,NA,1997,APR; MAY; JUN; JUL,APR; MAY; JUN; JUL,NA,NES,NES,"{ ""F"" : 6 }","{ ""AB"" : 6 }",39W3A5US_A,39W3A5US_A,39W3A5US_A,The navigational feats of green sea turtles migrating from Ascension Island investigated by satellite telemetry,1998,"Luschi, P.; Hays, G. C.; Del Seppia, C.; Marsh, R.; Papi, F.",ATL,-14.4,-7.9
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,39W3A5US,1.00E+06,T,B,Easternmost part of Brazilian bulge,5,SATELLITE TAG (ARGOS),5,1,NA,1997,JUN; JUL; AUG,JUN; JUL; AUG,NA,MIG; OBS,MIG,"{ ""F"" : 5 }","{ ""A"" : 5 }",39W3A5US_B,39W3A5US_B,39W3A5US_B,The navigational feats of green sea turtles migrating from Ascension Island investigated by satellite telemetry,1998,"Luschi, P.; Hays, G. C.; Del Seppia, C.; Marsh, R.; Papi, F.",ATL,-34.8,-7
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,39W3A5US,1.00E+06,T,C,East off Ascension Island,5,SATELLITE TAG (ARGOS),1,1,NA,1997,APR,MAY,NA,OBS,OBS,"{ ""F"" : 1 }","{ ""A"" : 1 }",39W3A5US_C,39W3A5US_C,39W3A5US_C,The navigational feats of green sea turtles migrating from Ascension Island investigated by satellite telemetry,1998,"Luschi, P.; Hays, G. C.; Del Seppia, C.; Marsh, R.; Papi, F.",ATL,-18,-9
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,A,"Near Briebie Island, Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),11,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 9, ""M"" : 2 }","{ ""A"" : 11 }",3FNIQRK8_A,3FNIQRK8_A,3FNIQRK8_A,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,153,-27
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,B,"Near Hervey Bay, Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),1,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 1 }","{ ""A"" : 1 }",3FNIQRK8_B,3FNIQRK8_B,3FNIQRK8_B,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,152.5,-25
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,C,"East of Middle Island, Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),2,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 2 }","{ ""A"" : 2 }",3FNIQRK8_C,3FNIQRK8_C,3FNIQRK8_C,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,152,-24
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,D,"Balgal Beach, Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),1,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""M"" : 1 }","{ ""A"" : 1 }",3FNIQRK8_D,3FNIQRK8_D,3FNIQRK8_D,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,146.5,-19
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,E,"Tully Heads, Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),2,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 2 }","{ ""A"" : 2 }",3FNIQRK8_E,3FNIQRK8_E,3FNIQRK8_E,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,146,-18
CHMY,Green,3FNIQRK8_Shimada_etal_2016_Chmy,3FNIQRK8,1.00E+06,T,F,"North of Cape York,Australia",1,SATELLITE TAG (ARGOS); SATELLITE TAG (GPS),4,NA,NA,NA,(UNK),(UNK),NA,FEE,FEE,"{ ""F"" : 4 }","{ ""A"" : 4 }",3FNIQRK8_F,3FNIQRK8_F,3FNIQRK8_F,Time-restricted orientation of green turtles,2016,"Shimada, Takahiro; Jones, Rhondda; Limpus, Colin; Hamann, Mark",PAC,142,-10
